county,type,facility_name,street_address,city,state,zip,location,lat,long
New York,Pharmacy Only,Duane Reade #14260,7th Ave,New York,NY,10011,"7th Ave
New York, NY 10011
(40.740665152, -73.998147769)",40.740665152,-73.998147769
Kings,Pharmacy Only,Walgreens #10441,Coney Island Ave,Brooklyn,NY,11223,"Coney Island Ave
Brooklyn, NY 11223
(40.6007957, -73.961383742)",40.6007957,-73.961383742
Kings,Pharmacy Only,Aa Pharmacy,57th Street,Brooklyn,NY,11220,"57th Street
Brooklyn, NY 11220
(40.639752628, -74.012037396)",40.639752628,-74.012037396
Kings,Pharmacy Only,Woodhull Drugs,Ellery Street,Brooklyn,NY,11206,"Ellery Street
Brooklyn, NY 11206
(40.69940701, -73.940320218)",40.69940701,-73.940320218
Kings,Pharmacy Only,Qualimeds Pharmacy,86th St,Brooklyn,NY,11214,"86th St
Brooklyn, NY 11214
(40.605296074, -73.999391361)",40.605296074,-73.999391361
Kings,Pharmacy Only,Alleon Pharmacy,Fort Hamilton Pkwy,Brooklyn,NY,11219,"Fort Hamilton Pkwy
Brooklyn, NY 11219
(40.635448124, -74.002042816)",40.635448124,-74.002042816
Bronx,Pharmacy Only,Parkchester Pharmacy,Metropolitan Avenue,Bronx,NY,10462,"Metropolitan Avenue
Bronx, NY 10462
(40.835507081, -73.861019981)",40.835507081,-73.861019981
Queens,Pharmacy Only,Broadway Pharmacy,55th Avenue,Elmhurst,NY,11373,"55th Avenue
Elmhurst, NY 11373
(40.736524653, -73.874074946)",40.736524653,-73.874074946
Bronx,Pharmacy Only,Circle Pharmacy Corp.,Hugh J. Grant Circle,Bronx,NY,10472,"Hugh J. Grant Circle
Bronx, NY 10472
(40.832723383, -73.860701594)",40.832723383,-73.860701594
Kings,Pharmacy Only,"Elm Pharmacy, Inc.",Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.625636612, -73.965312159)",40.625636612,-73.965312159
Kings,Pharmacy Only,Fine Care Pharmacy,Broadway,Brooklyn,NY,11207,"Broadway
Brooklyn, NY 11207
(40.683079269, -73.910795599)",40.683079269,-73.910795599
New York,Pharmacy Only,Duane Reade #14225,Broadway,New York,NY,10025,"Broadway
New York, NY 10025
(40.797856, -73.968968)",40.797856,-73.968968
Queens,Pharmacy Only,Shalom Pharmacy,Main Street,Flushing,NY,11367,"Main Street
Flushing, NY 11367
(40.732119616, -73.824486948)",40.732119616,-73.824486948
New York,Pharmacy Only,Duane Reade #14465,3rd Ave,New York,NY,10022,"3rd Ave
New York, NY 10022
(40.760734997, -73.967169995)",40.760734997,-73.967169995
Kings,Pharmacy Only,Hoyt Pharmacy & Surgical Supplies,Atlantic Avenue,Brooklyn,NY,11208,"Atlantic Avenue
Brooklyn, NY 11208
(40.678139938, -73.884244889)",40.678139938,-73.884244889
Bronx,Pharmacy Only,Medi Center Pharmacy,Boston Road,Bronx,NY,10456,"Boston Road
Bronx, NY 10456
(40.829322231, -73.902525344)",40.829322231,-73.902525344
Bronx,Pharmacy Only,Castle Hill Community Pharmacy,Castle Hill Avenue,Bronx,NY,10473,"Castle Hill Avenue
Bronx, NY 10473
(40.81923468, -73.848082644)",40.81923468,-73.848082644
Richmond,Pharmacy Only,Walgreens #10475,Clove Rd,Staten Island,NY,10305,"Clove Rd
Staten Island, NY 10305
(40.600957357, -74.08143649)",40.600957357,-74.08143649
New York,Pharmacy Only,Duane Reade #14265,3rd Ave,New York,NY,10003,"3rd Ave
New York, NY 10003
(40.730824616, -73.988973308)",40.730824616,-73.988973308
Kings,Pharmacy Only,Walgreens #10064,Avenue U,Brooklyn,NY,11229,"Avenue U
Brooklyn, NY 11229
(40.600339695, -73.942702968)",40.600339695,-73.942702968
Kings,Pharmacy Only,Absoluterx Pharmacy,8th Avenue,Brooklyn,NY,11220,"8th Avenue
Brooklyn, NY 11220
(40.637397818, -74.007554402)",40.637397818,-74.007554402
Queens,Pharmacy Only,Duane Reade #14477,63rd Dr,Rego Park,NY,11374,"63rd Dr
Rego Park, NY 11374
(40.726346719, -73.864778861)",40.726346719,-73.864778861
Kings,Pharmacy Only,Walgreens #17670,Flatbush Ave,Brooklyn,NY,11210,"Flatbush Ave
Brooklyn, NY 11210
(40.627100179, -73.941595472)",40.627100179,-73.941595472
Kings,Pharmacy Only,Remedies Pharmacy,Bedford Avenue,Brooklyn,NY,11206,"Bedford Avenue
Brooklyn, NY 11206
(40.699903081, -73.957215639)",40.699903081,-73.957215639
Queens,Pharmacy Only,Elmhurst Pharmacy & Home Infusion I,Baxter Av,Elmhurst,NY,11373,"Baxter Av
Elmhurst, NY 11373
(40.745857144, -73.883796016)",40.745857144,-73.883796016
New York,Pharmacy Only,Walgreens #1214,2nd Ave,New York,NY,10021,"2nd Ave
New York, NY 10021
(40.769133761, -73.958140875)",40.769133761,-73.958140875
Queens,Pharmacy Only,Sunrise Pharmacy,Jamaica Av,Richmond Hill,NY,11418,"Jamaica Av
Richmond Hill, NY 11418
(40.697910308, -73.835528358)",40.697910308,-73.835528358
Kings,Pharmacy Only,Neergaard Pharmacy,5 Ave,Brooklyn,NY,11215,"5 Ave
Brooklyn, NY 11215
(40.668128602, -73.987165162)",40.668128602,-73.987165162
Queens,Pharmacy Only,Walgreens #9869,Eliot Ave,Middle Village,NY,11379,"Eliot Ave
Middle Village, NY 11379
(40.721298968, -73.887217571)",40.721298968,-73.887217571
Bronx,Pharmacy Only,Bryant Pharmacy,Bryant Avenue,Bronx,NY,10460,"Bryant Avenue
Bronx, NY 10460
(40.834226843, -73.886460431)",40.834226843,-73.886460431
New York,Pharmacy Only,Duane Reade #14153,3rd Ave,New York,NY,10022,"3rd Ave
New York, NY 10022
(40.760734997, -73.967169995)",40.760734997,-73.967169995
Queens,Pharmacy Only,"Health Source Plus Pharmacy, Llc",Metropolitan Ave,Kew Gardens,NY,11415,"Metropolitan Ave
Kew Gardens, NY 11415
(40.705294037, -73.828768083)",40.705294037,-73.828768083
Kings,Pharmacy Only,Walgreens #11806,Beverley Rd,Brooklyn,NY,11218,"Beverley Rd
Brooklyn, NY 11218
(40.64360558, -73.971319196)",40.64360558,-73.971319196
Kings,Pharmacy Only,Dahill Pharmacy Inc.,Church Avenue,Brooklyn,NY,11218,"Church Avenue
Brooklyn, NY 11218
(40.645041076, -73.974101779)",40.645041076,-73.974101779
New York,Pharmacy Only,"Pancare Pharmacy, Inc.",Bowery St,New York,NY,10013,"Bowery St
New York, NY 10013
(40.717015303, -73.995590659)",40.717015303,-73.995590659
New York,Pharmacy Only,Duane Reade #14489,Broadway,New York,NY,10031,"Broadway
New York, NY 10031
(40.825168807, -73.951470904)",40.825168807,-73.951470904
Queens,Pharmacy Only,Duane Reade #14271,Jamaica Ave,Jamaica,NY,11421,"Jamaica Ave
Jamaica, NY 11421
(40.692639509, -73.857066388)",40.692639509,-73.857066388
Bronx,Pharmacy Only,Walgreens # 10989,Boston Rd,Bronx,NY,10467,"Boston Rd
Bronx, NY 10467
(40.861766057, -73.866651958)",40.861766057,-73.866651958
Queens,Pharmacy Only,"Med Rx Pharmacy, Inc",Queens Boulevard,Rego Park,NY,11374,"Queens Boulevard
Rego Park, NY 11374
(40.728909273, -73.858804065)",40.728909273,-73.858804065
Kings,Pharmacy Only,Duane Reade #14312,Flatbush Ave,Brooklyn,NY,11217,"Flatbush Ave
Brooklyn, NY 11217
(40.681552627, -73.975632978)",40.681552627,-73.975632978
Queens,Pharmacy Only,Duane Reade #14390,5th St,Long Island City,NY,11101,"5th St
Long Island City, NY 11101
(40.744912715, -73.95585269)",40.744912715,-73.95585269
Kings,Pharmacy Only,Value Med Pharmacy,Avenue O,Brooklyn,NY,11204,"Avenue O
Brooklyn, NY 11204
(40.610538045, -73.981100501)",40.610538045,-73.981100501
Bronx,Pharmacy Only,Stat Rx Pharmacy Inc,East 167th Street,Bronx,NY,10456,"East 167th Street
Bronx, NY 10456
(40.831001581, -73.911466562)",40.831001581,-73.911466562
New York,Pharmacy Only,Duane Reade #14369,Madison Ave,New York,NY,10029,"Madison Ave
New York, NY 10029
(40.793608276, -73.949511218)",40.793608276,-73.949511218
Bronx,Pharmacy Only,Walgreens #5074,Westchester Sq,Bronx,NY,10461,"Westchester Sq
Bronx, NY 10461
(40.841370572, -73.843162129)",40.841370572,-73.843162129
New York,Pharmacy Only,Duane Reade #14272,Columbus Cir,New York,NY,10019,"Columbus Cir
New York, NY 10019
(40.767746506, -73.981545006)",40.767746506,-73.981545006
Queens,Pharmacy Only,Pharmex Pharmacy Inc.,Rockaway Blvd,Jamaica,NY,11436,"Rockaway Blvd
Jamaica, NY 11436
(40.673875863, -73.795736155)",40.673875863,-73.795736155
New York,Pharmacy Only,Duane Reade #14488,Lexington Ave,New York,NY,10022,"Lexington Ave
New York, NY 10022
(40.759360758, -73.970276611)",40.759360758,-73.970276611
Kings,Pharmacy Only,Future Pharmacy Corp.,65th St,Brooklyn,NY,11204,"65th St
Brooklyn, NY 11204
(40.620766974, -73.992873185)",40.620766974,-73.992873185
Kings,Pharmacy Only,"Knapp Nutritional & Pharmacy, Inc.",Church Ave,Brooklyn,NY,11212,"Church Ave
Brooklyn, NY 11212
(40.655478672, -73.91581346)",40.655478672,-73.91581346
New York,Pharmacy Only,Duane Reade #14111,Broadway,New York,NY,10018,"Broadway
New York, NY 10018
(40.753041, -73.984996)",40.753041,-73.984996
Bronx,Pharmacy Only,Good Life Pharmacy,Grand Concourse,Bronx,NY,10458,"Grand Concourse
Bronx, NY 10458
(40.868371938, -73.892469081)",40.868371938,-73.892469081
Queens,Pharmacy Only,Apex Pharmacy Inc.,Sutphin Blvd.,Jamaica,NY,11434,"Sutphin Blvd.
Jamaica, NY 11434
(40.679467118, -73.791729837)",40.679467118,-73.791729837
Queens,Pharmacy Only,Walgreens #4319,Broadway,Elmhurst,NY,11373,"Broadway
Elmhurst, NY 11373
(40.742797206, -73.882595005)",40.742797206,-73.882595005
Bronx,Pharmacy Only,Aldus Pharmacy,Southern Blvd,Bronx,NY,10459,"Southern Blvd
Bronx, NY 10459
(40.82386322, -73.891859421)",40.82386322,-73.891859421
Kings,Pharmacy Only,Voorhies Health Pharmacy Inc,Voorhies Ave,Brooklyn,NY,11235,"Voorhies Ave
Brooklyn, NY 11235
(40.586968016, -73.942287947)",40.586968016,-73.942287947
Kings,Pharmacy Only,Duane Reade #14444,Ralph Ave,Brooklyn,NY,11234,"Ralph Ave
Brooklyn, NY 11234
(40.625225037, -73.917869494)",40.625225037,-73.917869494
Kings,Pharmacy Only,Walgreens #10941,Church Ave,Brooklyn,NY,11226,"Church Ave
Brooklyn, NY 11226
(40.647725722, -73.967413861)",40.647725722,-73.967413861
Kings,Pharmacy Only,Walgreens #11808,Flatlands Ave,Brooklyn,NY,11234,"Flatlands Ave
Brooklyn, NY 11234
(40.624763187, -73.929896474)",40.624763187,-73.929896474
Queens,Pharmacy Only,Duane Reade #14325,Steinway St,Astoria,NY,11103,"Steinway St
Astoria, NY 11103
(40.763000954, -73.915727824)",40.763000954,-73.915727824
Kings,Pharmacy Only,"Fulton 1st Pharmacy, Inc.",Fulton Street,Brooklyn,NY,11216,"Fulton Street
Brooklyn, NY 11216
(40.680257406, -73.947077748)",40.680257406,-73.947077748
Bronx,Pharmacy Only,Medstop Pharmacy & Surgical Supplie,Jerome Avenue,Bronx,NY,10452,"Jerome Avenue
Bronx, NY 10452
(40.835148, -73.924245)",40.835148,-73.924245
Queens,Pharmacy Only,Duane Reade #14431,82nd St,Jackson Heights,NY,11372,"82nd St
Jackson Heights, NY 11372
(40.751585139, -73.884647945)",40.751585139,-73.884647945
New York,Pharmacy Only,Duane Reade #14297,8th Ave,New York,NY,10019,"8th Ave
New York, NY 10019
(40.761645414, -73.986526137)",40.761645414,-73.986526137
Richmond,Pharmacy Only,Walgreens #09204,Manor Rd,Staten Island,NY,10314,"Manor Rd
Staten Island, NY 10314
(40.61120088, -74.121807871)",40.61120088,-74.121807871
New York,Pharmacy Only,Walgreens #6160,5th Ave,New York,NY,10118,"5th Ave
New York, NY 10118
(40.748359997, -73.984619986)",40.748359997,-73.984619986
New York,Pharmacy Only,Inwood Pharmacy,Broadway,New York,NY,10034,"Broadway
New York, NY 10034
(40.868737696, -73.917929147)",40.868737696,-73.917929147
Bronx,Pharmacy Only,Mt. Carmel Pharmacy,East 187th Street,Bronx,NY,10458,"East 187th Street
Bronx, NY 10458
(40.85579327, -73.88801136)",40.85579327,-73.88801136
Bronx,Pharmacy Only,Goodman Plaza Pharmacy Inc,Third Avenue,Bronx,NY,10456,"Third Avenue
Bronx, NY 10456
(40.830808951, -73.905946751)",40.830808951,-73.905946751
Kings,Pharmacy Only,Fine Care Pharmacy,13th Avenue,Brooklyn,NY,11219,"13th Avenue
Brooklyn, NY 11219
(40.631580168, -73.995655412)",40.631580168,-73.995655412
Kings,Pharmacy Only,"Coney Island Chemist, Inc.",Coney Island Ave,Brooklyn,NY,11223,"Coney Island Ave
Brooklyn, NY 11223
(40.6007957, -73.961383742)",40.6007957,-73.961383742
Bronx,Pharmacy Only,Walgreens #11267,E 161st Street,Bronx,NY,10451,"E 161st Street
Bronx, NY 10451
(40.826442846, -73.921289644)",40.826442846,-73.921289644
New York,Pharmacy Only,Thriftway Pharmacy,10th Ave,New York,NY,10036,"10th Ave
New York, NY 10036
(40.761204147, -73.994321016)",40.761204147,-73.994321016
Kings,Pharmacy Only,Smart Choice Pharmacy,Ave X,Brooklyn,NY,11223,"Ave X
Brooklyn, NY 11223
(40.590481665, -73.970725849)",40.590481665,-73.970725849
Kings,Pharmacy Only,Lane Drugs,13th Ave,Brooklyn,NY,11219,"13th Ave
Brooklyn, NY 11219
(40.631580168, -73.995655412)",40.631580168,-73.995655412
Queens,Pharmacy Only,Nature's Way Pharmacy,Myrtle Ave,Ridgewood,NY,11385,"Myrtle Ave
Ridgewood, NY 11385
(40.702500624, -73.873977684)",40.702500624,-73.873977684
Queens,Pharmacy Only,National Pharmacy,National St,Corona,NY,11368,"National St
Corona, NY 11368
(40.747464981, -73.863518052)",40.747464981,-73.863518052
Bronx,Pharmacy Only,Wellcare Pharmacy,East 180th Street,Bronx,NY,10460,"East 180th Street
Bronx, NY 10460
(40.842224, -73.876117)",40.842224,-73.876117
New York,Pharmacy Only,Duane Reade #21261,8th Ave,New York,NY,10036,"8th Ave
New York, NY 10036
(40.757629983, -73.989499972)",40.757629983,-73.989499972
Kings,Pharmacy Only,Thriftway Pharmacy,Classon Avenue,Brooklyn,NY,11238,"Classon Avenue
Brooklyn, NY 11238
(40.677630006, -73.959064442)",40.677630006,-73.959064442
Kings,Pharmacy Only,A One Pharmacy Inc.,8th Avenue,Brooklyn,NY,11220,"8th Avenue
Brooklyn, NY 11220
(40.637397818, -74.007554402)",40.637397818,-74.007554402
Bronx,Pharmacy Only,City Line Pharmacy,White Plains Road,Bronx,NY,10470,"White Plains Road
Bronx, NY 10470
(40.903429022, -73.850371164)",40.903429022,-73.850371164
Kings,Pharmacy Only,Walgreens #12732,3rd Ave,Brooklyn,NY,11209,"3rd Ave
Brooklyn, NY 11209
(40.624059334, -74.030818893)",40.624059334,-74.030818893
Queens,Pharmacy Only,Medicmasters Pharmacy & Surgical Su,Jamaica Avenue,Jamaica,NY,11432,"Jamaica Avenue
Jamaica, NY 11432
(40.706413026, -73.792487356)",40.706413026,-73.792487356
Queens,Pharmacy Only,Starside Drugs,Main Street,Flushing,NY,11355,"Main Street
Flushing, NY 11355
(40.754487704, -73.827950753)",40.754487704,-73.827950753
New York,Pharmacy Only,Duane Reade #14356,N End Ave,New York,NY,10282,"N End Ave
New York, NY 10282
(40.715830478, -74.015389638)",40.715830478,-74.015389638
Queens,Pharmacy Only,Walgreens #19224,Union Turnpike,Glen Oaks,NY,11004,"Union Turnpike
Glen Oaks, NY 11004
(40.747460157, -73.711070915)",40.747460157,-73.711070915
Kings,Pharmacy Only,Forever Health Pharmacy,18th Avenue,Brooklyn,NY,11204,"18th Avenue
Brooklyn, NY 11204
(40.628494225, -73.980802461)",40.628494225,-73.980802461
Kings,Pharmacy Only,"YMD Pharmacy, Inc.",Utica Avenue,Brooklyn,NY,11203,"Utica Avenue
Brooklyn, NY 11203
(40.650159197, -73.930216953)",40.650159197,-73.930216953
Queens,Pharmacy Only,Walgreens #07367,College Point Blvd,College Point,NY,11356,"College Point Blvd
College Point, NY 11356
(40.784669876, -73.845796279)",40.784669876,-73.845796279
Bronx,Pharmacy Only,Gig Pharmacy Inc.,Jerome Avenue,Bronx,NY,10467,"Jerome Avenue
Bronx, NY 10467
(40.882873847, -73.88112239)",40.882873847,-73.88112239
Bronx,Pharmacy Only,Walgreens #12899,E Tremont Ave,Bronx,NY,10461,"E Tremont Ave
Bronx, NY 10461
(40.839669429, -73.836866509)",40.839669429,-73.836866509
Kings,Pharmacy Only,Duane Reade #14277,Cortelyou Rd,Brooklyn,NY,11226,"Cortelyou Rd
Brooklyn, NY 11226
(40.644292785, -73.951952827)",40.644292785,-73.951952827
Queens,Pharmacy Only,Walgreens #4688,14th Ave,Whitestone,NY,11357,"14th Ave
Whitestone, NY 11357
(40.78892265, -73.800872619)",40.78892265,-73.800872619
Queens,Pharmacy Only,Jamaica Pharmacy Within,Hillside Ave,Jamaica,NY,11432,"Hillside Ave
Jamaica, NY 11432
(40.711010006, -73.792219979)",40.711010006,-73.792219979
New York,Pharmacy Only,Uptown Care Pharmacy Llc,2nd Ave,New York,NY,10029,"2nd Ave
New York, NY 10029
(40.790626109, -73.942432808)",40.790626109,-73.942432808
Kings,Pharmacy Only,Kenby Drugs,5th Avenue,Brooklyn,NY,11220,"5th Avenue
Brooklyn, NY 11220
(40.641173283, -74.014396236)",40.641173283,-74.014396236
New York,Pharmacy Only,Duane Reade #14134,W 57th Street,New York,NY,10019,"W 57th Street
New York, NY 10019
(40.766510002, -73.982355028)",40.766510002,-73.982355028
New York,Pharmacy Only,Duane Reade #14209,Columbus Ave,New York,NY,10024,"Columbus Ave
New York, NY 10024
(40.784852955, -73.973398782)",40.784852955,-73.973398782
Kings,Pharmacy Only,J Drugs,Avenue J,Brooklyn,NY,11230,"Avenue J
Brooklyn, NY 11230
(40.624626054, -73.966611167)",40.624626054,-73.966611167
Kings,Pharmacy Only,Abo Pharmacy & Medical Supplies,Flatlands Ave,Brooklyn,NY,11236,"Flatlands Ave
Brooklyn, NY 11236
(40.640211735, -73.90600239)",40.640211735,-73.90600239
Kings,Pharmacy Only,"Infant Formula Laboratory Service,",Livonia Ave,Brooklyn,NY,11207,"Livonia Ave
Brooklyn, NY 11207
(40.665151469, -73.891436217)",40.665151469,-73.891436217
New York,Pharmacy Only,Duane Reade #14400,John St,New York,NY,10038,"John St
New York, NY 10038
(40.708201436, -74.006499441)",40.708201436,-74.006499441
Bronx,Pharmacy Only,Walgreens #1013,Broadway,Bronx,NY,10463,"Broadway
Bronx, NY 10463
(40.881507219, -73.902970873)",40.881507219,-73.902970873
Kings,Pharmacy Only,Ditmas Pharmacy Corp.,Ditmas Avenue,Brooklyn,NY,11218,"Ditmas Avenue
Brooklyn, NY 11218
(40.636034171, -73.973561635)",40.636034171,-73.973561635
New York,Pharmacy Only,Duane Reade #14436,Water Street,New York,NY,10038,"Water Street
New York, NY 10038
(40.708028612, -74.002392748)",40.708028612,-74.002392748
Kings,Pharmacy Only,Mg Pharmacy Inc.,Broadway,Brooklyn,NY,11221,"Broadway
Brooklyn, NY 11221
(40.69447544, -73.93078414)",40.69447544,-73.93078414
Queens,Pharmacy Only,Duane Reade #14268,Bell Blvd,Bayside,NY,11360,"Bell Blvd
Bayside, NY 11360
(40.784720189, -73.778148899)",40.784720189,-73.778148899
New York,Pharmacy Only,Duane Reade #14138,7th Ave,New York,NY,10001,"7th Ave
New York, NY 10001
(40.748264, -73.992264)",40.748264,-73.992264
Kings,Pharmacy Only,Walgreens #19375,13th Ave,Brooklyn,NY,11228,"13th Ave
Brooklyn, NY 11228
(40.618881412, -74.00889746)",40.618881412,-74.00889746
New York,Pharmacy Only,Citydrug & Surgical,Audubon Avenue,New York,NY,10032,"Audubon Avenue
New York, NY 10032
(40.841175228, -73.937866087)",40.841175228,-73.937866087
Queens,Pharmacy Only,Rx-Spress Pharmacy,Liberty Avenue,Jamaica,NY,11419,"Liberty Avenue
Jamaica, NY 11419
(40.685869996, -73.825910033)",40.685869996,-73.825910033
Kings,Pharmacy Only,Walgreens #06982,Kings Hwy,Brooklyn,NY,11223,"Kings Hwy
Brooklyn, NY 11223
(40.60513316, -73.979811784)",40.60513316,-73.979811784
Kings,Pharmacy Only,Fine Care Pharmacy,Flatbush Ave,Brooklyn,NY,11210,"Flatbush Ave
Brooklyn, NY 11210
(40.627100179, -73.941595472)",40.627100179,-73.941595472
Kings,Pharmacy Only,Thriftway Pharmacy,Church Ave,Brooklyn,NY,11226,"Church Ave
Brooklyn, NY 11226
(40.647725722, -73.967413861)",40.647725722,-73.967413861
Queens,Pharmacy Only,Walgreens #1180,Crescent Street,Astoria,NY,11106,"Crescent Street
Astoria, NY 11106
(40.761308452, -73.930476669)",40.761308452,-73.930476669
Kings,Pharmacy Only,Walgreens #1918,Broadway,Brooklyn,NY,11206,"Broadway
Brooklyn, NY 11206
(40.702938337, -73.945766539)",40.702938337,-73.945766539
Kings,Pharmacy Only,Fine Care Pharmacy,Knickerbocker Av,Brooklyn,NY,11237,"Knickerbocker Av
Brooklyn, NY 11237
(40.702568662, -73.92497553)",40.702568662,-73.92497553
New York,Pharmacy Only,Duane Reade #14185,Delancey St,New York,NY,10002,"Delancey St
New York, NY 10002
(40.720308397, -73.994031912)",40.720308397,-73.994031912
Kings,Pharmacy Only,Family Pharmacy,Rockaway Ave,Brooklyn,NY,11212,"Rockaway Ave
Brooklyn, NY 11212
(40.663342102, -73.909133026)",40.663342102,-73.909133026
Queens,Pharmacy Only,Duane Reade #14187,Roosevelt Ave,Woodside,NY,11377,"Roosevelt Ave
Woodside, NY 11377
(40.745348898, -73.907306009)",40.745348898,-73.907306009
New York,Pharmacy Only,Farmacia San Rafael,St Nicholas Ave,New York,NY,10033,"St Nicholas Ave
New York, NY 10033
(40.848600208, -73.934262238)",40.848600208,-73.934262238
Kings,Pharmacy Only,The Modern Chemist,Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.625636612, -73.965312159)",40.625636612,-73.965312159
New York,Pharmacy Only,Duane Reade #14239,9th Ave,New York,NY,10019,"9th Ave
New York, NY 10019
(40.765727994, -73.987315104)",40.765727994,-73.987315104
Kings,Pharmacy Only,Walgreens #04363,Union Ave,Brooklyn,NY,11211,"Union Ave
Brooklyn, NY 11211
(40.712954708, -73.951445801)",40.712954708,-73.951445801
Kings,Pharmacy Only,A Plus Pharmacy Corp,7th Avenue,Brooklyn,NY,11220,"7th Avenue
Brooklyn, NY 11220
(40.639888085, -74.00857688)",40.639888085,-74.00857688
Queens,Pharmacy Only,Long Island City Chemists,36th Ave,Long Island City,NY,11106,"36th Ave
Long Island City, NY 11106
(40.762267495, -73.94353094)",40.762267495,-73.94353094
New York,Pharmacy Only,Duane Reade #14101,Broadway,New York,NY,10006,"Broadway
New York, NY 10006
(40.707839807, -74.01163018)",40.707839807,-74.01163018
Kings,Pharmacy Only,Walgreens #11807,Church Ave,Brooklyn,NY,11203,"Church Ave
Brooklyn, NY 11203
(40.651604081, -73.933218454)",40.651604081,-73.933218454
Kings,Pharmacy Only,Knickerbocker Chemists Inc.,Knickerbocker Avenue,Brooklyn,NY,11237,"Knickerbocker Avenue
Brooklyn, NY 11237
(40.702568662, -73.92497553)",40.702568662,-73.92497553
Queens,Pharmacy Only,Francis Lewis Pharmacy Inc,Francis Lewis Blvd,Flushing,NY,11358,"Francis Lewis Blvd
Flushing, NY 11358
(40.769559503, -73.792368455)",40.769559503,-73.792368455
Queens,Pharmacy Only,Walgreens #18412,Rockaway Boulevard,Ozone Park,NY,11417,"Rockaway Boulevard
Ozone Park, NY 11417
(40.679575677, -73.836753512)",40.679575677,-73.836753512
Kings,Pharmacy Only,Duane Reade #14464,86th St,Brooklyn,NY,11209,"86th St
Brooklyn, NY 11209
(40.623556792, -74.031474859)",40.623556792,-74.031474859
New York,Pharmacy Only,Duane Reade #14317,3rd Ave,New York,NY,10029,"3rd Ave
New York, NY 10029
(40.791573804, -73.944667283)",40.791573804,-73.944667283
Kings,Pharmacy Only,Sunshine Pharmacy Of N.Y. Inc.,Kingston Avenue,Brooklyn,NY,11225,"Kingston Avenue
Brooklyn, NY 11225
(40.663215364, -73.94277617)",40.663215364,-73.94277617
Queens,Pharmacy Only,Skyview Pharmacy,40th Rd,Flushing,NY,11354,"40th Rd
Flushing, NY 11354
(40.756419993, -73.835240013)",40.756419993,-73.835240013
Richmond,Pharmacy Only,Walgreens #07776,Hylan Blvd,Staten Island,NY,10305,"Hylan Blvd
Staten Island, NY 10305
(40.590102107, -74.088919732)",40.590102107,-74.088919732
Queens,Pharmacy Only,Walgreens #04564,Jamaica Ave,Jamaica,NY,11432,"Jamaica Ave
Jamaica, NY 11432
(40.706413026, -73.792487356)",40.706413026,-73.792487356
Kings,Pharmacy Only,Millennium Pharmacy Inc.,Fulton Street,Brooklyn,NY,11208,"Fulton Street
Brooklyn, NY 11208
(40.682521989, -73.876106933)",40.682521989,-73.876106933
Kings,Pharmacy Only,Duane Reade #14184,Flatbush Ave,Brooklyn,NY,11226,"Flatbush Ave
Brooklyn, NY 11226
(40.646602568, -73.958112669)",40.646602568,-73.958112669
Bronx,Pharmacy Only,Jerome Drugs,Jerome Avenue,Bronx,NY,10453,"Jerome Avenue
Bronx, NY 10453
(40.854342642, -73.906918625)",40.854342642,-73.906918625
New York,Pharmacy Only,Duane Reade #14217,8th Ave,New York,NY,10018,"8th Ave
New York, NY 10018
(40.754398402, -73.99185615)",40.754398402,-73.99185615
Bronx,Pharmacy Only,Rx Masters Inc,Webster Avenue,Bronx,NY,10456,"Webster Avenue
Bronx, NY 10456
(40.837165912, -73.906860557)",40.837165912,-73.906860557
Queens,Pharmacy Only,Walgreens #01487,Queens Blvd,Forest Hills,NY,11375,"Queens Blvd
Forest Hills, NY 11375
(40.718826368, -73.837854521)",40.718826368,-73.837854521
Queens,Pharmacy Only,Duane Reade #14449,37th Ave,Jackson Heights,NY,11372,"37th Ave
Jackson Heights, NY 11372
(40.749864797, -73.883149449)",40.749864797,-73.883149449
Bronx,Pharmacy Only,Mcgraw Pharmacy Inc.,Mcgraw Avenue,Bronx,NY,10462,"Mcgraw Avenue
Bronx, NY 10462
(40.834834241, -73.859219337)",40.834834241,-73.859219337
Queens,Pharmacy Only,Atlas Pharmacy Llc,Jamaica Avenue,Woodhaven,NY,11421,"Jamaica Avenue
Woodhaven, NY 11421
(40.692639509, -73.857066388)",40.692639509,-73.857066388
Kings,Pharmacy Only,Boro Park Pharmacy Corp.,New Utrecht Avenue,Brooklyn,NY,11219,"New Utrecht Avenue
Brooklyn, NY 11219
(40.633295913, -73.995170147)",40.633295913,-73.995170147
New York,Pharmacy Only,Walgreens #10135,1st Ave,New York,NY,10009,"1st Ave
New York, NY 10009
(40.733190009, -73.981230009)",40.733190009,-73.981230009
Bronx,Pharmacy Only,Care First Pharmacy Corp,White Plains Road,Bronx,NY,10466,"White Plains Road
Bronx, NY 10466
(40.892130306, -73.858120818)",40.892130306,-73.858120818
Queens,Pharmacy Only,Health & Beauty Vitamin Center,Astoria Blvd,East Elmhurst,NY,11369,"Astoria Blvd
East Elmhurst, NY 11369
(40.762376675, -73.871186657)",40.762376675,-73.871186657
Queens,Pharmacy Only,Primacare Plus Pharmacy Inc.,Main St,Flushing,NY,11354,"Main St
Flushing, NY 11354
(40.7606883, -73.830680443)",40.7606883,-73.830680443
