County,Type,Facility Name,Street Address,City,State,ZIP,Location
Bronx,Grocery,Subs Gourmet Deli,Ogden Avenue,Bronx,NY,10452,"Ogden Avenue
Bronx, NY 10452
(40.837015744, -73.927069735)"
Richmond,Grocery,Mexico Supermarket Monte Alban Corp,Port Richmond Av,Staten Island,NY,10302,"Port Richmond Av
Staten Island, NY 10302
(40.631909075, -74.138037464)"
Queens,Grocery,Food World Supermarket Co.,Sutphin Blvd,Jamaica,NY,11434,"Sutphin Blvd
Jamaica, NY 11434
(40.679467118, -73.791729837)"
Kings,Grocery,"Mazel Food Center, Inc.",12th Avenue,Brooklyn,NY,11219,"12th Avenue
Brooklyn, NY 11219
(40.627041349, -74.004012152)"
Kings,Grocery,Freddys Market,Coney Island Avenue,Brooklyn,NY,11235,"Coney Island Avenue
Brooklyn, NY 11235
(40.587513615, -73.960366001)"
New York,Grocery,Shop Fair Supermarket Supermarkets,East 110th St,New York,NY,10029,"East 110th St
New York, NY 10029
(40.794238274, -73.943052683)"
Queens,Grocery,Nordomi #2 Deli Corp.,89th Ave,Jamaica,NY,11435,"89th Ave
Jamaica, NY 11435
(40.703612431, -73.809579117)"
Kings,Grocery,Bravo Supermarket,Fulton St,Brooklyn,NY,11216,"Fulton St
Brooklyn, NY 11216
(40.680257406, -73.947077748)"
Queens,Grocery,Food Universe Marketplace,Steinway St,Long Island City,NY,11101,"Steinway St
Long Island City, NY 11101
(40.754549548, -73.922598486)"
Kings,Grocery,A & J Grocery Inc,86th St,Brooklyn,NY,11214,"86th St
Brooklyn, NY 11214
(40.605296074, -73.999391361)"
Queens,Grocery,Key Food,Grand Avenue,Maspeth,NY,11378,"Grand Avenue
Maspeth, NY 11378
(40.721883665, -73.904333203)"
Queens,Grocery,Mei Kang Inc,Kissena Blvd,Flushing,NY,11355,"Kissena Blvd
Flushing, NY 11355
(40.755328445, -73.824509811)"
Kings,Grocery,The Sandwich Spot Deli Corp.,Flatbush Avenue,Brooklyn,NY,11226,"Flatbush Avenue
Brooklyn, NY 11226
(40.646602568, -73.958112669)"
New York,Grocery,Fine Fare,Lenox Av,New York,NY,10026,"Lenox Av
New York, NY 10026
(40.801445169, -73.950204727)"
Queens,Grocery,C-Town Supermarkets,Roosevelt Ave,Corona,NY,11368,"Roosevelt Ave
Corona, NY 11368
(40.752270244, -73.85354326)"
Bronx,Grocery,S & P Mini Market Corp,East 165th Street,Bronx,NY,10456,"East 165th Street
Bronx, NY 10456
(40.828543908, -73.914104734)"
Kings,Grocery,Moisha's Kosher Discount Supermarke,Avenue M,Brooklyn,NY,11230,"Avenue M
Brooklyn, NY 11230
(40.617677031, -73.963010685)"
Kings,Grocery,City Fresh Market,Kingsland Ave,Brooklyn,NY,11211,"Kingsland Ave
Brooklyn, NY 11211
(40.717499066, -73.940282827)"
Queens,Grocery,Shop Fair Supermarket,Beach 20th Street,Far Rockaway,NY,11691,"Beach 20th Street
Far Rockaway, NY 11691
(40.600774069, -73.753744014)"
Kings,Grocery,5001 Xin Xin Grocery Inc.,6th Avenue,Brooklyn,NY,11220,"6th Avenue
Brooklyn, NY 11220
(40.639934907, -74.01208343)"
Kings,Grocery,Scaturro Supermarkets,11th Ave,Brooklyn,NY,11219,"11th Ave
Brooklyn, NY 11219
(40.633070322, -74.00129566)"
New York,Grocery,Key Food,Columbia St,New York,NY,10002,"Columbia St
New York, NY 10002
(40.717154416, -73.980193289)"
Bronx,Grocery,Food Universe Market Place,West Kingsbridge Road,Bronx,NY,10468,"West Kingsbridge Road
Bronx, NY 10468
(40.867635632, -73.898261977)"
New York,Grocery,Food Universe Marketplace,Nagle Avenue,New York,NY,10040,"Nagle Avenue
New York, NY 10040
(40.860390918, -73.928011408)"
Bronx,Grocery,Visionary Food Corp,White Plains Road,Bronx,NY,10472,"White Plains Road
Bronx, NY 10472
(40.82699195, -73.860039944)"
Queens,Grocery,Fresh N Save,Roosevelt Ave,Woodside,NY,11377,"Roosevelt Ave
Woodside, NY 11377
(40.745348898, -73.907306009)"
Bronx,Grocery,C-Town Supermarkets,Southern Boulervard,Bronx,NY,10455,"Southern Boulervard
Bronx, NY 10455
(40.812735878, -73.902011001)"
Bronx,Grocery,Pou Kou Halal Food Corp,Tinton Avenue,Bronx,NY,10455,"Tinton Avenue
Bronx, NY 10455
(40.81397574, -73.905865092)"
Bronx,Grocery,Ekiti-Kete African & Caribbean Supe,Williamsbridge Road,Bronx,NY,10469,"Williamsbridge Road
Bronx, NY 10469
(40.862814631, -73.857929396)"
Bronx,Grocery,Community Deli Food Market Corp,Carpenter Avenue,Bronx,NY,10467,"Carpenter Avenue
Bronx, NY 10467
(40.885544994, -73.865085005)"
Kings,Grocery,"All Fresh Supermarket, Inc.",Harrison Ave,Brooklyn,NY,11211,"Harrison Ave
Brooklyn, NY 11211
(40.705686889, -73.953309091)"
Kings,Grocery,C-Town Supermarkets,Fulton Street,Brooklyn,NY,11207,"Fulton Street
Brooklyn, NY 11207
(40.677880316, -73.892642647)"
Richmond,Grocery,Bay Street Bazaar Inc.,Bay St,Staten Island,NY,10304,"Bay St
Staten Island, NY 10304
(40.623243039, -74.073173016)"
Kings,Grocery,Ajwa Grocery And Halal Meat Llc,Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.625636612, -73.965312159)"
Bronx,Grocery,Gerardo Grocery,Valentine Avenue,Bronx,NY,10458,"Valentine Avenue
Bronx, NY 10458
(40.860727921, -73.896534283)"
Bronx,Grocery,Mi Compadre Deli Grocery Corp,East 213th Street,Bronx,NY,10467,"East 213th Street
Bronx, NY 10467
(40.878740741, -73.863586349)"
New York,Grocery,Associated,Harlem River Dr,New York,NY,10039,"Harlem River Dr
New York, NY 10039
(40.827807445, -73.934655389)"
New York,Grocery,Key Food #566,Avenue A,New York,NY,10009,"Avenue A
New York, NY 10009
(40.726341286, -73.983323098)"
Kings,Grocery,Mega 53 Supermarkets,13th Ave,Brooklyn,NY,11219,"13th Ave
Brooklyn, NY 11219
(40.631580168, -73.995655412)"
Kings,Grocery,Howard Market Place,Howard Avenue,Brooklyn,NY,11221,"Howard Avenue
Brooklyn, NY 11221
(40.687380571, -73.92088013)"
Kings,Grocery,Windsor Farms Market,Prospect Avenue,Brooklyn,NY,11215,"Prospect Avenue
Brooklyn, NY 11215
(40.661648343, -73.98640407)"
Kings,Grocery,Food Basket,20th Avenue,Brooklyn,NY,11204,"20th Avenue
Brooklyn, NY 11204
(40.618339034, -73.983976114)"
Queens,Grocery,Grace Tree Fruit Corp.,Woodward Avenue,Ridgewood,NY,11385,"Woodward Avenue
Ridgewood, NY 11385
(40.708090636, -73.911103639)"
Bronx,Grocery,Cherry Valley Market Place,East 189 Street,Bronx,NY,10458,"East 189 Street
Bronx, NY 10458
(40.858158441, -73.887494035)"
Queens,Grocery,Maspeth Marketplace By Key Food,Grand Ave,Maspeth,NY,11378,"Grand Ave
Maspeth, NY 11378
(40.721883665, -73.904333203)"
Bronx,Grocery,Food Universe Marketplace,West 183rd Street,Bronx,NY,10453,"West 183rd Street
Bronx, NY 10453
(40.859957526, -73.908448889)"
Kings,Grocery,Bravo Supermarket,4th Av,Brooklyn,NY,11220,"4th Av
Brooklyn, NY 11220
(40.642446361, -74.016837076)"
Bronx,Grocery,Foodtown,Boston Road,Bronx,NY,10469,"Boston Road
Bronx, NY 10469
(40.869055167, -73.857998926)"
Kings,Grocery,Bensonhurst Market,20th Avenue,Brooklyn,NY,11204,"20th Avenue
Brooklyn, NY 11204
(40.618339034, -73.983976114)"
Bronx,Grocery,Omale New York Grocery Corp,Crotona Avenue,Bronx,NY,10457,"Crotona Avenue
Bronx, NY 10457
(40.844447825, -73.89194803)"
Kings,Grocery,Met Fresh,Myrtle Avenue,Brooklyn,NY,11237,"Myrtle Avenue
Brooklyn, NY 11237
(40.698997534, -73.916423418)"
Queens,Grocery,Minimart,Fresh Pond Road,Ridgewood,NY,11385,"Fresh Pond Road
Ridgewood, NY 11385
(40.706887204, -73.897125209)"
Queens,Grocery,Food Universe,111th Avenue,South Ozone Park,NY,11420,"111th Avenue
South Ozone Park, NY 11420
(40.681426393, -73.818092971)"
Queens,Grocery,Green Valley Supermarket,Jamaica Avenue,Woodhaven,NY,11421,"Jamaica Avenue
Woodhaven, NY 11421
(40.692639509, -73.857066388)"
Richmond,Grocery,Stop 1 Supermarket,Richmond Terrace,Staten Island,NY,10301,"Richmond Terrace
Staten Island, NY 10301
(40.642809177, -74.075580943)"
Queens,Grocery,"Merrick Meat Farms, Inc.",Merrick Boulevard,Rosedale,NY,11422,"Merrick Boulevard
Rosedale, NY 11422
(40.67417225, -73.727518726)"
Kings,Grocery,Xing Fu Yuan Inc,Fort Hamilton Pkwy,Brooklyn,NY,11219,"Fort Hamilton Pkwy
Brooklyn, NY 11219
(40.635448124, -74.002042816)"
Queens,Grocery,Key Food Market Place,Aguilar Avenue,Flushing,NY,11367,"Aguilar Avenue
Flushing, NY 11367
(40.727997393, -73.812396881)"
Queens,Grocery,Food Bazaar,Northern Blvd,Long Island City,NY,11101,"Northern Blvd
Long Island City, NY 11101
(40.753450012, -73.913560013)"
Kings,Grocery,Pioneer,Fulton St,Brooklyn,NY,11208,"Fulton St
Brooklyn, NY 11208
(40.682521989, -73.876106933)"
Kings,Grocery,Brighton Best 99 Cent Store,Brighton Beach Avenue,Brooklyn,NY,11235,"Brighton Beach Avenue
Brooklyn, NY 11235
(40.57767129, -73.961194181)"
Queens,Grocery,Happy Mart Inc.,Corona Avenue,Corona,NY,11368,"Corona Avenue
Corona, NY 11368
(40.744334296, -73.862355026)"
Queens,Grocery,Food Universe,Jamaica Ave,Queens Village,NY,11428,"Jamaica Ave
Queens Village, NY 11428
(40.71698387, -73.74129102)"
New York,Grocery,Foodtown,Amsterdam Avenue,New York,NY,10027,"Amsterdam Avenue
New York, NY 10027
(40.811555532, -73.957596732)"
Kings,Grocery,Flatlands Farm,Flatlands Avenue,Brooklyn,NY,11236,"Flatlands Avenue
Brooklyn, NY 11236
(40.640211735, -73.90600239)"
Kings,Grocery,Kosher Town,Albany Avenue,Brooklyn,NY,11213,"Albany Avenue
Brooklyn, NY 11213
(40.671835295, -73.939187589)"
Kings,Grocery,Key Food,5th Avenue,Brooklyn,NY,11232,"5th Avenue
Brooklyn, NY 11232
(40.654342786, -74.000687237)"
Kings,Grocery,Food Universe Market Place,New Lots Ave,Brooklyn,NY,11208,"New Lots Ave
Brooklyn, NY 11208
(40.667716835, -73.879569492)"
Bronx,Grocery,Lg Meat Product Corp,Watson Ave,Bronx,NY,10472,"Watson Ave
Bronx, NY 10472
(40.827662314, -73.866468109)"
Kings,Grocery,Wegmans Food Market #111,Flushing Avenue,Brooklyn,NY,11205,"Flushing Avenue
Brooklyn, NY 11205
(40.697716825, -73.967697696)"
Kings,Grocery,Key Food,3rd Avenue,Brooklyn,NY,11209,"3rd Avenue
Brooklyn, NY 11209
(40.624059334, -74.030818893)"
Queens,Grocery,Pioneer,Jamaica Avenue,Jamaica,NY,11421,"Jamaica Avenue
Jamaica, NY 11421
(40.692639509, -73.857066388)"
Kings,Grocery,3 J S Food Corp.,Pitkin Avenue,Brooklyn,NY,11207,"Pitkin Avenue
Brooklyn, NY 11207
(40.672278824, -73.893402436)"
Kings,Grocery,"Marcy Grocery, Inc.",Marcy Avenue,Brooklyn,NY,11211,"Marcy Avenue
Brooklyn, NY 11211
(40.70824594, -73.958007931)"
Kings,Grocery,C-Town Supermarkets,18th Avenue,Brooklyn,NY,11204,"18th Avenue
Brooklyn, NY 11204
(40.628494225, -73.980802461)"
New York,Grocery,The Food Emporium,Adam Clayton Powell Jr Bo,New York,NY,10039,"Adam Clayton Powell Jr Bo
New York, NY 10039
(40.828039175, -73.934692114)"
New York,Grocery,Food Universe Marketplace,Broadway,New York,NY,10034,"Broadway
New York, NY 10034
(40.868737696, -73.917929147)"
Kings,Grocery,Food World Supermarket,E 107th Street,Brooklyn,NY,11236,"E 107th Street
Brooklyn, NY 11236
(40.64761816, -73.892387921)"
Queens,Grocery,Key Food,Northern Blvd,Jackson Heights,NY,11372,"Northern Blvd
Jackson Heights, NY 11372
(40.755740834, -73.88366366)"
New York,Grocery,Super Gigante Foods,9th Ave,New York,NY,10034,"9th Ave
New York, NY 10034
(40.862129089, -73.918207779)"
Richmond,Grocery,Key Food,Forest Ave,Staten Island,NY,10301,"Forest Ave
Staten Island, NY 10301
(40.631404502, -74.099270611)"
Kings,Grocery,Sunflower Grocery,Fort Hamilton Pkwy,Brooklyn,NY,11218,"Fort Hamilton Pkwy
Brooklyn, NY 11218
(40.642676052, -73.991211188)"
Queens,Grocery,Food Bazaar,Gates Avenue,Ridgewood,NY,11385,"Gates Avenue
Ridgewood, NY 11385
(40.70391908, -73.90775359)"
Kings,Grocery,"86th Street Grocery & Snacks, Inc.",86th Street,Brooklyn,NY,11214,"86th Street
Brooklyn, NY 11214
(40.605296074, -73.999391361)"
Kings,Grocery,Shop Fair Supermarket,Troy Avenue,Brooklyn,NY,11213,"Troy Avenue
Brooklyn, NY 11213
(40.671344749, -73.936443445)"
Bronx,Grocery,Target Store T-2475,Exterior Street,Bronx,NY,10451,"Exterior Street
Bronx, NY 10451
(40.821773929, -73.930830306)"
Kings,Grocery,Ideal Food Basket,Gates Av,Brooklyn,NY,11221,"Gates Av
Brooklyn, NY 11221
(40.688881177, -73.927403822)"
Kings,Grocery,Einhorns Grocery,16th Ave,Brooklyn,NY,11204,"16th Ave
Brooklyn, NY 11204
(40.6259069, -73.99080976)"
Queens,Grocery,Golden Mango America Inc.,Rockaway Blvd,Ozone Park,NY,11416,"Rockaway Blvd
Ozone Park, NY 11416
(40.683122834, -73.854231948)"
Bronx,Grocery,J.A.S Grocery,Westchester Avenue,Bronx,NY,10472,"Westchester Avenue
Bronx, NY 10472
(40.829950172, -73.873054095)"
Queens,Grocery,Akota Grocery & Halal Meat,73rd Street,Woodside,NY,11377,"73rd Street
Woodside, NY 11377
(40.7448753, -73.891957199)"
Kings,Grocery,Freddys On U Inc.,Avenue U,Brooklyn,NY,11223,"Avenue U
Brooklyn, NY 11223
(40.597037326, -73.972620822)"
Queens,Grocery,Trade Fair #2,21st Avenue,East Elmhurst,NY,11370,"21st Avenue
East Elmhurst, NY 11370
(40.770418087, -73.893678309)"
Queens,Grocery,Key Food,Crossbay Bo,Howard Beach,NY,11414,"Crossbay Bo
Howard Beach, NY 11414
(40.6464207, -73.836795229)"
Kings,Grocery,Key Food,Ralph Avenue,Brooklyn,NY,11236,"Ralph Avenue
Brooklyn, NY 11236
(40.642859418, -73.919749924)"
Richmond,Grocery,ShopRite Of Veteran's Road,Veterans Road West,Staten Island,NY,10309,"Veterans Road West
Staten Island, NY 10309
(40.529643716, -74.225891511)"
New York,Grocery,Food Universe,West 138th St,New York,NY,10031,"West 138th St
New York, NY 10031
(40.821849291, -73.953267261)"
Bronx,Grocery,F & K Food Center Corp.,Grand Concourse,Bronx,NY,10468,"Grand Concourse
Bronx, NY 10468
(40.868787087, -73.892586083)"
Bronx,Grocery,Gonzalez Grocery Store,Valentine Avenue,Bronx,NY,10458,"Valentine Avenue
Bronx, NY 10458
(40.860727921, -73.896534283)"
Bronx,Grocery,Price Choice,East Tremont Avenue,Bronx,NY,10460,"East Tremont Avenue
Bronx, NY 10460
(40.841624575, -73.883449118)"
Bronx,Grocery,Mi Mexico Mini Market & Grocery Inc,Westchester Ave,Bronx,NY,10472,"Westchester Ave
Bronx, NY 10472
(40.829950172, -73.873054095)"
Bronx,Grocery,Golden Mango,Randall Avenue,Bronx,NY,10473,"Randall Avenue
Bronx, NY 10473
(40.818259241, -73.853788758)"
Bronx,Grocery,Food Bazaar,East 170th Street,Bronx,NY,10456,"East 170th Street
Bronx, NY 10456
(40.83807904, -73.912224011)"
Bronx,Grocery,Western Beef #62,Bruckner Boulevard,Bronx,NY,10472,"Bruckner Boulevard
Bronx, NY 10472
(40.825729243, -73.863880672)"
Kings,Grocery,Brighton Gourmet Deli Inc.,Brighton Beach Ave,Brooklyn,NY,11235,"Brighton Beach Ave
Brooklyn, NY 11235
(40.57767129, -73.961194181)"
Kings,Grocery,My Neighborhood Grocery,Chesnut Street,Brooklyn,NY,11207,"Chesnut Street
Brooklyn, NY 11207
(40.675529543, -73.873508776)"
Queens,Grocery,Mango Hills,Beach 14th Street,Far Rockaway,NY,11691,"Beach 14th Street
Far Rockaway, NY 11691
(40.596804959, -73.748195097)"
Kings,Grocery,Food Universe,Atlantic Ave,Brooklyn,NY,11213,"Atlantic Ave
Brooklyn, NY 11213
(40.677805453, -73.935824566)"
Kings,Grocery,America's Food Basket,Rockaway Parkway,Brooklyn,NY,11236,"Rockaway Parkway
Brooklyn, NY 11236
(40.64051526, -73.897153295)"
Bronx,Grocery,Amber Deli Grocery Corp,Prospect Avenue,Bronx,NY,10455,"Prospect Avenue
Bronx, NY 10455
(40.817540445, -73.902510726)"
Bronx,Grocery,Food Universe Marketplace,Van Cortlandt Avenue W,Bronx,NY,10463,"Van Cortlandt Avenue W
Bronx, NY 10463
(40.884246481, -73.893495634)"
Queens,Grocery,"Mi Esquina Market, Corp.",37th Ave,Corona,NY,11368,"37th Ave
Corona, NY 11368
(40.758084995, -73.843264973)"
Kings,Grocery,Key Food,Gerritsen Av,Brooklyn,NY,11229,"Gerritsen Av
Brooklyn, NY 11229
(40.593867866, -73.926255363)"
Bronx,Grocery,Fine Fare Supermarket,Westchester Avenue,Bronx,NY,10459,"Westchester Avenue
Bronx, NY 10459
(40.825623809, -73.890052467)"
Queens,Grocery,Bangla Bazar Fish Market Inc,43rd Ave,Sunnyside,NY,11104,"43rd Ave
Sunnyside, NY 11104
(40.745174274, -73.920679341)"
Bronx,Grocery,Met Food,Jackson Avenue,Bronx,NY,10455,"Jackson Avenue
Bronx, NY 10455
(40.813032432, -73.909146432)"
Kings,Grocery,Sea Town Fish & Meat Market,Linden Street,Brooklyn,NY,11237,"Linden Street
Brooklyn, NY 11237
(40.699373294, -73.913539287)"
New York,Grocery,Shop Fair Supermarket Supermarket,East 116th St,New York,NY,10029,"East 116th St
New York, NY 10029
(40.797530398, -73.939020637)"
Queens,Grocery,Food Universe Market Place,Liberty Ave,Ozone Park,NY,11417,"Liberty Ave
Ozone Park, NY 11417
(40.682434374, -73.836058628)"
Kings,Grocery,Bed-Ross Grocery Llc,Ross St,Brooklyn,NY,11249,"Ross St
Brooklyn, NY 11249
(40.703705526, -73.963524735)"
Kings,Grocery,Food Cart Inc,Coney Island Avenue,Brooklyn,NY,11218,"Coney Island Avenue
Brooklyn, NY 11218
(40.642233074, -73.969645416)"
Queens,Grocery,Rockaway Kosher,Cornaga Avenue,Far Rockaway,NY,11691,"Cornaga Avenue
Far Rockaway, NY 11691
(40.603188647, -73.747016676)"
Kings,Grocery,Malcolm X Shop Smart Corp.,Malcolm X Blvd,Brooklyn,NY,11233,"Malcolm X Blvd
Brooklyn, NY 11233
(40.682039276, -73.928893014)"
Bronx,Grocery,Pascual Mini Market Corp,Ogden Ave,Bronx,NY,10452,"Ogden Ave
Bronx, NY 10452
(40.837015744, -73.927069735)"
Kings,Grocery,The Yellow Basket Llc,Division Avenue,Brooklyn,NY,11249,"Division Avenue
Brooklyn, NY 11249
(40.707164455, -73.966399794)"
Kings,Grocery,"Mb Brooklyn Grocery, Inc.",Empire Blvd,Brooklyn,NY,11225,"Empire Blvd
Brooklyn, NY 11225
(40.663796101, -73.952562075)"
Queens,Grocery,Mis Amigos Inc.,Northern Boulevard,Corona,NY,11368,"Northern Boulevard
Corona, NY 11368
(40.758229958, -73.85148632)"
Queens,Grocery,Food Universe Marketplace,Francis Lewis Blvd,Flushing,NY,11358,"Francis Lewis Blvd
Flushing, NY 11358
(40.769559503, -73.792368455)"
Kings,Grocery,C-Town Supermarkets,Avenue U,Brooklyn,NY,11229,"Avenue U
Brooklyn, NY 11229
(40.600339695, -73.942702968)"
Queens,Grocery,Superfresh,Baxter Avenue,Elmhurst,NY,11373,"Baxter Avenue
Elmhurst, NY 11373
(40.745857144, -73.883796016)"
Kings,Grocery,Fresh Food Mart & Deli,Knickerbocker Ave,Brooklyn,NY,11221,"Knickerbocker Ave
Brooklyn, NY 11221
(40.69554624, -73.912613242)"
Queens,Grocery,Zaara Convenience Deli & Grocery In,101st Avenue,Ozone Park,NY,11416,"101st Avenue
Ozone Park, NY 11416
(40.683287264, -73.849429946)"
Kings,Grocery,Shop Fair Supermarket Foodmarkets,Broadway,Brooklyn,NY,11211,"Broadway
Brooklyn, NY 11211
(40.707394123, -73.954927715)"
Kings,Grocery,Asian Supermarket Nyc Inc,Newkirk Avenue,Brooklyn,NY,11230,"Newkirk Avenue
Brooklyn, NY 11230
(40.633239002, -73.968171126)"
Kings,Grocery,C-Town Supermarkets,Flatlands Ave,Brooklyn,NY,11236,"Flatlands Ave
Brooklyn, NY 11236
(40.640211735, -73.90600239)"
Queens,Grocery,Darbar Deli & Grocery Inc.,Queens Blvd,Jamaica,NY,11435,"Queens Blvd
Jamaica, NY 11435
(40.706698459, -73.817065624)"
Kings,Grocery,Associated,Church Ave,Brooklyn,NY,11226,"Church Ave
Brooklyn, NY 11226
(40.647725722, -73.967413861)"
Kings,Grocery,Rahim Grocery & Halal Meat Corp.,Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.625636612, -73.965312159)"
Kings,Grocery,Kaff's Bakery & Grocery Inc.,16th Avenue,Brooklyn,NY,11204,"16th Avenue
Brooklyn, NY 11204
(40.6259069, -73.99080976)"
Queens,Grocery,Cielo86 Inc,Roosevelt Avenue,Jackson Heights,NY,11372,"Roosevelt Avenue
Jackson Heights, NY 11372
(40.747096878, -73.888987581)"
Kings,Grocery,Gourmet Plaza,East 13th Street,Brooklyn,NY,11229,"East 13th Street
Brooklyn, NY 11229
(40.601098138, -73.958722745)"
Queens,Grocery,Bravo Supermarket,Jamaica Avenue,Richmond Hill,NY,11418,"Jamaica Avenue
Richmond Hill, NY 11418
(40.697910308, -73.835528358)"
Kings,Grocery,Food Universe Marketplace,86th Street,Brooklyn,NY,11214,"86th Street
Brooklyn, NY 11214
(40.605296074, -73.999391361)"
New York,Grocery,C-Town Supermarkets,Saint Nicholas Avenue,New York,NY,10032,"Saint Nicholas Avenue
New York, NY 10032
(40.840142377, -73.939726472)"
Kings,Grocery,Pioneer,5th Avenue,Brooklyn,NY,11220,"5th Avenue
Brooklyn, NY 11220
(40.641173283, -74.014396236)"
Kings,Grocery,Key Food Supermarket,Nostrand Ave,Brooklyn,NY,11210,"Nostrand Ave
Brooklyn, NY 11210
(40.628937388, -73.9472581)"
New York,Grocery,Grand Century Market Inc.,Grand St,New York,NY,10002,"Grand St
New York, NY 10002
(40.716411878, -73.988250408)"
Kings,Grocery,The Pantry Kosher Market,Ross Street,Brooklyn,NY,11211,"Ross Street
Brooklyn, NY 11211
(40.705829424, -73.960201115)"
Richmond,Grocery,Ideal Fresh,Rossville Avenue,Staten Island,NY,10309,"Rossville Avenue
Staten Island, NY 10309
(40.548690538, -74.210739335)"
Queens,Grocery,Key Food,108th St,Corona,NY,11368,"108th St
Corona, NY 11368
(40.747498977, -73.857106152)"
Richmond,Grocery,P-Y Deli Corp,Vreeland Street,Staten Island,NY,10302,"Vreeland Street
Staten Island, NY 10302
(40.636561385, -74.131243982)"
Richmond,Grocery,"Mi Pueblo Meat Market, Inc.",Port Richmond Ave,Staten Island,NY,10302,"Port Richmond Ave
Staten Island, NY 10302
(40.631909075, -74.138037464)"
Queens,Grocery,Foodtown,Queens Blvd,Forest Hills,NY,11375,"Queens Blvd
Forest Hills, NY 11375
(40.718826368, -73.837854521)"
Kings,Grocery,Super Star Bebe Mini Market Corp,Fulton St #2,Brooklyn,NY,11207,"Fulton St #2
Brooklyn, NY 11207
(40.677880316, -73.892642647)"
Bronx,Grocery,La Oaxaquena Produce-Mex,Jerome Ave,Bronx,NY,10453,"Jerome Ave
Bronx, NY 10453
(40.854342642, -73.906918625)"
New York,Grocery,Food Universe Marketplace,Lexington Ave,New York,NY,10128,"Lexington Ave
New York, NY 10128
(40.783020473, -73.95301138)"
Bronx,Grocery,Ricardito & Anthony Deli Grocery In,Vyse Ave,Bronx,NY,10460,"Vyse Ave
Bronx, NY 10460
(40.835470669, -73.886733378)"
Bronx,Grocery,University Fresh Market,University Avenue,Bronx,NY,10453,"University Avenue
Bronx, NY 10453
(40.850085818, -73.916160642)"
New York,Grocery,Key Food,West 125th Street,New York,NY,10027,"West 125th Street
New York, NY 10027
(40.81695014, -73.959426152)"
Queens,Grocery,Key Food,101st Avenue,Ozone Park,NY,11416,"101st Avenue
Ozone Park, NY 11416
(40.683287264, -73.849429946)"
Bronx,Grocery,C-Town Supermarkets,Crescent Avenue,Bronx,NY,10458,"Crescent Avenue
Bronx, NY 10458
(40.853850187, -73.88724922)"
Kings,Grocery,Foodtown #603,Ralph Ave,Brooklyn,NY,11234,"Ralph Ave
Brooklyn, NY 11234
(40.625225037, -73.917869494)"
Kings,Grocery,Met Food,Driggs Ave,Brooklyn,NY,11222,"Driggs Ave
Brooklyn, NY 11222
(40.722862314, -73.946259911)"
Bronx,Grocery,Super Pioneer Supermarket,Melrose Avenue,Bronx,NY,10455,"Melrose Avenue
Bronx, NY 10455
(40.81846686, -73.916697033)"
Bronx,Grocery,Key Food,Westchester Ave.,Bronx,NY,10461,"Westchester Ave.
Bronx, NY 10461
(40.84667827, -73.832720631)"
Queens,Grocery,Ideal Food Basket,137th Avenue,Jamaica,NY,11434,"137th Avenue
Jamaica, NY 11434
(40.672203859, -73.773337697)"
Bronx,Grocery,Food Universe,Bartow Ave,Bronx,NY,10475,"Bartow Ave
Bronx, NY 10475
(40.869620005, -73.827368075)"
Bronx,Grocery,City Fresh Market,Valentine Avenue,Bronx,NY,10458,"Valentine Avenue
Bronx, NY 10458
(40.860727921, -73.896534283)"
Bronx,Grocery,Mk Halal Food Market,3rd Avenue,Bronx,NY,10454,"3rd Avenue
Bronx, NY 10454
(40.808766294, -73.930028096)"
Kings,Grocery,Cortelyou Market By Key Food,Cortelyou Road,Brooklyn,NY,11226,"Cortelyou Road
Brooklyn, NY 11226
(40.644292785, -73.951952827)"
Richmond,Grocery,Stop & Shop #2512,Richmond Av,Staten Island,NY,10314,"Richmond Av
Staten Island, NY 10314
(40.598887445, -74.162748744)"
Kings,Grocery,Happy Family Grocery Store Inc,8th Ave,Brooklyn,NY,11220,"8th Ave
Brooklyn, NY 11220
(40.637397818, -74.007554402)"
Kings,Grocery,Ideal Food Basket,Lafayette Ave,Brooklyn,NY,11221,"Lafayette Ave
Brooklyn, NY 11221
(40.691576772, -73.936426585)"
Kings,Grocery,Key Food,Crescent St,Brooklyn,NY,11208,"Crescent St
Brooklyn, NY 11208
(40.668878672, -73.868345151)"
Kings,Grocery,"Busy Corner Grocery, Inc.",Kings Highway,Brooklyn,NY,11223,"Kings Highway
Brooklyn, NY 11223
(40.60513316, -73.979811784)"
Bronx,Grocery,Food Universe,Morris Avenue,Bronx,NY,10451,"Morris Avenue
Bronx, NY 10451
(40.818761164, -73.922180973)"
Kings,Grocery,Evelyn Grocery Corp.,E 92nd St,Brooklyn,NY,11236,"E 92nd St
Brooklyn, NY 11236
(40.644296243, -73.908359727)"
Bronx,Grocery,Bonoful Grocery Inc,East 182nd Street,Bronx,NY,10453,"East 182nd Street
Bronx, NY 10453
(40.856720678, -73.902752591)"
Queens,Grocery,Foodtown,63rd Road,Rego Park,NY,11374,"63rd Road
Rego Park, NY 11374
(40.732180184, -73.858494636)"
Kings,Grocery,"46 St. Food Center, Inc.",46th Street,Brooklyn,NY,11219,"46th Street
Brooklyn, NY 11219
(40.637361202, -73.991463688)"
